n_points_in       x_min       y_min       z_min       x_max       y_max       z_max      dx_out      dy_out      dz_out
       21822  1152.77000    71.07100     0.00000 25779.70000  9926.20000     1.00000     9.47609     9.47609     1.00000
x(m)        y(m)        z(m)        q(m^2/s)
 24255.30000   290.24900     0.00000   458.75630
 24263.50000   298.49700     0.00000   458.04850
 24339.30000   298.49700     0.00000   254.41070
 24415.10000   298.49700     0.00000   252.42190
 24491.00000   298.49700     0.00000   267.00090
 24566.80000   298.49700     0.00000   260.17000
 24642.60000   298.49700     0.00000   274.61860
 24718.40000   298.49700     0.00000   267.30850
 24794.20000   298.49700     0.00000   255.29220
 24870.00000   298.49700     0.00000   258.81010
 24945.80000   298.49700     0.00000   247.38500
 25021.60000   298.49700     0.00000   246.80740
 25097.40000   298.49700     0.00000   266.25540
 25173.20000   298.49700     0.00000   240.46560
 25249.00000   298.49700     0.00000   256.63750
 25324.80000   298.49700     0.00000   255.42100
 25400.70000   298.49700     0.00000   255.15600
 25476.50000   298.49700     0.00000   238.41590
 25552.30000   298.49700     0.00000   236.87830
 25628.10000   298.49700     0.00000   237.26230
 25703.90000   298.49700     0.00000   266.24840
 25779.70000   298.49700     0.00000   238.11080
 24236.80000   298.49700     0.00000   352.53860
 24202.80000   313.60400     0.00000   464.53810
 24187.70000   320.33000     0.00000   397.58970
 24150.40000   336.95800     0.00000   232.40470
 24111.90000   354.08200     0.00000   256.30550
 24097.90000   360.31200     0.00000   256.30550
 24111.90000   374.30600     0.00000   317.06270
 24187.70000   374.30600     0.00000   251.99700
 24263.50000   374.30600     0.00000   253.69680
 24339.30000   374.30600     0.00000   268.54890
 24415.10000   374.30600     0.00000   263.98420
 24491.00000   374.30600     0.00000   270.54280
 24566.80000   374.30600     0.00000   246.83740
 24642.60000   374.30600     0.00000   257.53730
 24718.40000   374.30600     0.00000   257.55520
 24794.20000   374.30600     0.00000   246.75300
 24870.00000   374.30600     0.00000   266.86150
 24945.80000   374.30600     0.00000   238.33580
 25021.60000   374.30600     0.00000   240.36410
 25097.40000   374.30600     0.00000   255.78690
 25173.20000   374.30600     0.00000   255.49420
 25249.00000   374.30600     0.00000   254.74030
 25324.80000   374.30600     0.00000   238.17680
 25400.70000   374.30600     0.00000   236.26400
 25476.50000   374.30600     0.00000   267.04950
 25552.30000   374.30600     0.00000   236.01110
 25628.10000   374.30600     0.00000   235.62210
 25703.90000   374.30600     0.00000   263.69850
 25779.70000   374.30600     0.00000   278.19590
 24066.50000   374.30600     0.00000   301.29680
 24045.50000   383.66600     0.00000     0.00000
 24036.10000   387.83400     0.00000     0.00000
 23993.00000   407.02000     0.00000     0.00000
 23960.30000   421.58600     0.00000     0.00000
 23940.60000   430.37500     0.00000     0.00000
 23960.30000   450.11400     0.00000   275.13180
 24036.10000   450.11400     0.00000   249.08250
 24111.90000   450.11400     0.00000   249.01210
 24187.70000   450.11400     0.00000   271.88350
 24263.50000   450.11400     0.00000   261.29110
 24339.30000   450.11400     0.00000   272.88150
 24415.10000   450.11400     0.00000   266.46930
 24491.00000   450.11400     0.00000   270.47060
 24566.80000   450.11400     0.00000   257.98000
 24642.60000   450.11400     0.00000   247.46820
 24718.40000   450.11400     0.00000   246.43300
 24794.20000   450.11400     0.00000   266.19310
 24870.00000   450.11400     0.00000   239.47670
 24945.80000   450.11400     0.00000   257.21630
 25021.60000   450.11400     0.00000   255.42330
