x(m)        y(m)        z(m)        h max (m)
 24566.80000   677.54000     0.00000     6.74530
 24642.60000   677.54000     0.00000     6.74550
 24718.40000   677.54000     0.00000     7.28500
 24794.20000   677.54000     0.00000     6.73790
 24870.00000   677.54000     0.00000     6.73790
 24945.80000   677.54000     0.00000     6.74830
 25021.60000   677.54000     0.00000     6.73950
 25097.40000   677.54000     0.00000     6.78560
 25173.20000   677.54000     0.00000     6.76290
 25249.00000   677.54000     0.00000     6.76150
 25324.80000   677.54000     0.00000     6.73860
 25400.70000   677.54000     0.00000     6.74960
 25476.50000   677.54000     0.00000     6.76490
 25552.30000   677.54000     0.00000     6.74230
 25628.10000   677.54000     0.00000     7.23740
 25703.90000   677.54000     0.00000     6.73830
 25779.70000   677.54000     0.00000     7.34660
 23385.40000   677.54000     0.00000    10.25620
 23363.60000   687.27100     0.00000    10.25400
 23353.80000   691.60300     0.00000     0.00000
 23311.10000   710.62500     0.00000     5.90170
 23278.00000   725.35600     0.00000     8.70220
 23258.60000   733.97900     0.00000     8.06640
 23278.00000   753.34900     0.00000     8.86560
 23353.80000   753.34900     0.00000     6.75860
 23429.60000   753.34900     0.00000     6.74090
 23505.40000   753.34900     0.00000     6.80070
 23581.20000   753.34900     0.00000     8.22080
 23657.10000   753.34900     0.00000     7.82540
 23732.90000   753.34900     0.00000     6.74550
 23808.70000   753.34900     0.00000     6.74210
 23884.50000   753.34900     0.00000     6.79870
 23960.30000   753.34900     0.00000     9.05380
 24036.10000   753.34900     0.00000     7.10540
 24111.90000   753.34900     0.00000     7.03060
 24187.70000   753.34900     0.00000     7.39540
 24263.50000   753.34900     0.00000     6.76500
 24339.30000   753.34900     0.00000     6.76330
 24415.10000   753.34900     0.00000     6.74100
 24491.00000   753.34900     0.00000     6.75730
 24566.80000   753.34900     0.00000     7.06460
 24642.60000   753.34900     0.00000     6.73880
 24718.40000   753.34900     0.00000     6.74010
 24794.20000   753.34900     0.00000     6.73840
 24870.00000   753.34900     0.00000     6.76300
 24945.80000   753.34900     0.00000     6.74820
 25021.60000   753.34900     0.00000     6.74450
 25097.40000   753.34900     0.00000     6.74830
 25173.20000   753.34900     0.00000     6.78880
 25249.00000   753.34900     0.00000     6.74790
 25324.80000   753.34900     0.00000     6.75060
 25400.70000   753.34900     0.00000     6.74920
 25476.50000   753.34900     0.00000     6.76460
 25552.30000   753.34900     0.00000     6.74780
 25628.10000   753.34900     0.00000     7.46060
 25703.90000   753.34900     0.00000     7.08350
 25779.70000   753.34900     0.00000     7.08250
 23215.10000   753.34900     0.00000     9.73660
 23206.20000   757.33400     0.00000     0.00000
 23202.20000   759.10800     0.00000     0.00000
 23153.70000   780.68800     0.00000     6.04490
 23126.40000   792.86000     0.00000    10.48000
 23101.30000   804.04200     0.00000     6.13820
 23050.60000   826.61300     0.00000     6.90830
 23048.80000   827.39700     0.00000     6.90830
 23050.60000   829.15800     0.00000    11.19960
 23126.40000   829.15800     0.00000     6.97240
 23202.20000   829.15800     0.00000     6.81340
 23278.00000   829.15800     0.00000     6.74540
 23353.80000   829.15800     0.00000     7.86690
 23429.60000   829.15800     0.00000     7.36300
 23505.40000   829.15800     0.00000     6.79210
 23581.20000   829.15800     0.00000     6.74250
 23657.10000   829.15800     0.00000     6.74910
 23732.90000   829.15800     0.00000     6.74500
 23808.70000   829.15800     0.00000     6.73890
 23884.50000   829.15800     0.00000     6.75810
 23960.30000   829.15800     0.00000     7.17780
 24036.10000   829.15800     0.00000     6.92230
 24111.90000   829.15800     0.00000     7.40690
 24187.70000   829.15800     0.00000     6.87220
 24263.50000   829.15800     0.00000     6.77790
 24339.30000   829.15800     0.00000     7.74810
 24415.10000   829.15800     0.00000     6.78580
 24491.00000   829.15800     0.00000     6.75770
 24566.80000   829.15800     0.00000     6.75850
 24642.60000   829.15800     0.00000     6.98560
 24718.40000   829.15800     0.00000     6.73910
 24794.20000   829.15800     0.00000     6.74000
 24870.00000   829.15800     0.00000     6.73890
 24945.80000   829.15800     0.00000     6.73700
 25021.60000   829.15800     0.00000     6.76260
 25097.40000   829.15800     0.00000     6.73780
 25173.20000   829.15800     0.00000     6.78910
 25249.00000   829.15800     0.00000     6.73990
 25324.80000   829.15800     0.00000     6.76320
 25400.70000   829.15800     0.00000     6.74960
 25476.50000   829.15800     0.00000     6.76340
 25552.30000   829.15800     0.00000     6.74840
 25628.10000   829.15800     0.00000     6.87090
 25703.90000   829.15800     0.00000     7.00400
 25779.70000   829.15800     0.00000     6.73980
 23044.90000   829.15800     0.00000    11.19960
 22996.40000   850.75100     0.00000    11.67220
 22974.80000   860.36500     0.00000     8.16940
 22943.90000   874.10500     0.00000     9.26850
 22899.00000   894.11700     0.00000     8.61440
 22891.50000   897.46000     0.00000     8.61610
 22899.00000   904.96600     0.00000     8.61440
 22974.80000   904.96600     0.00000    11.99200
 23050.60000   904.96600     0.00000     8.15640
 23126.40000   904.96600     0.00000     9.45700
 23202.20000   904.96600     0.00000     8.83220
 23278.00000   904.96600     0.00000     7.82660
 23353.80000   904.96600     0.00000     7.06930
 23429.60000   904.96600     0.00000     6.93960
 23505.40000   904.96600     0.00000    11.96920
 23581.20000   904.96600     0.00000    10.05300
 23657.10000   904.96600     0.00000     7.27920
 23732.90000   904.96600     0.00000     6.73860
 23808.70000   904.96600     0.00000     6.73850
 23884.50000   904.96600     0.00000     6.87280
 23960.30000   904.96600     0.00000     7.82610
 24036.10000   904.96600     0.00000     6.84440
 24111.90000   904.96600     0.00000     6.85060
 24187.70000   904.96600     0.00000     6.80140
 24263.50000   904.96600     0.00000     6.74810
 24339.30000   904.96600     0.00000     6.73820
 24415.10000   904.96600     0.00000     6.75930
 24491.00000   904.96600     0.00000     6.77220
 24566.80000   904.96600     0.00000     6.77240
 24642.60000   904.96600     0.00000     6.74590
 24718.40000   904.96600     0.00000     6.73760
 24794.20000   904.96600     0.00000     6.73760
 24870.00000   904.96600     0.00000     6.73760
 24945.80000   904.96600     0.00000     6.75380
 25021.60000   904.96600     0.00000     6.75330
 25097.40000   904.96600     0.00000     6.73720
 25173.20000   904.96600     0.00000     6.79790
 25249.00000   904.96600     0.00000     6.73710
 25324.80000   904.96600     0.00000     6.76320
 25400.70000   904.96600     0.00000     6.74910
 25476.50000   904.96600     0.00000     6.76400
 25552.30000   904.96600     0.00000     7.23440
 25628.10000   904.96600     0.00000     6.76810
 25703.90000   904.96600     0.00000     7.03080
 25779.70000   904.96600     0.00000     6.73840
 22874.60000   904.96600     0.00000    12.22630
 22839.00000   920.81400     0.00000    10.57120
 22823.20000   927.86900     0.00000    11.22480
 22786.60000   944.16800     0.00000     7.46930
 22747.40000   961.62200     0.00000    10.03530
 22734.10000   967.52200     0.00000    10.03810
 22747.40000   980.77500     0.00000     9.66810
 22823.20000   980.77500     0.00000     8.31480
 22899.00000   980.77500     0.00000     7.35530
 22974.80000   980.77500     0.00000     6.75530
 23050.60000   980.77500     0.00000     6.91270
 23126.40000   980.77500     0.00000     6.83490
 23202.20000   980.77500     0.00000     7.73910
 23278.00000   980.77500     0.00000     7.83790
 23353.80000   980.77500     0.00000     7.09980
 23429.60000   980.77500     0.00000     7.36910
 23505.40000   980.77500     0.00000     6.74150
 23581.20000   980.77500     0.00000     6.74530
 23657.10000   980.77500     0.00000     7.89480
 23732.90000   980.77500     0.00000     8.24790
 23808.70000   980.77500     0.00000     8.80230
 23884.50000   980.77500     0.00000     6.74490
 23960.30000   980.77500     0.00000     7.67180
 24036.10000   980.77500     0.00000     6.78270
 24111.90000   980.77500     0.00000     6.74790
 24187.70000   980.77500     0.00000     6.77600
 24263.50000   980.77500     0.00000     6.73660
 24339.30000   980.77500     0.00000     6.73670
 24415.10000   980.77500     0.00000     6.78640
 24491.00000   980.77500     0.00000     6.75010
 24566.80000   980.77500     0.00000     6.76330
 24642.60000   980.77500     0.00000     6.75460
 24718.40000   980.77500     0.00000     6.73890
 24794.20000   980.77500     0.00000     6.74070
 24870.00000   980.77500     0.00000     6.75280
 24945.80000   980.77500     0.00000     6.78890
 25021.60000   980.77500     0.00000     6.81440
 25097.40000   980.77500     0.00000     6.76510
 25173.20000   980.77500     0.00000     6.77110
 25249.00000   980.77500     0.00000     6.74670
 25324.80000   980.77500     0.00000     6.76330
 25400.70000   980.77500     0.00000     6.74990
 25476.50000   980.77500     0.00000     6.76370
 25552.30000   980.77500     0.00000     7.23990
 25628.10000   980.77500     0.00000     6.74710
 25703.90000   980.77500     0.00000     7.02970
 25779.70000   980.77500     0.00000     6.74100
 22704.30000   980.77500     0.00000    10.62160
 22681.60000   990.87600     0.00000     9.34190
 22671.50000   995.37400     0.00000     9.34190
 22629.20000  1014.23000     0.00000     6.43300
 22595.70000  1029.13000     0.00000    10.28410
 22576.70000  1037.58000     0.00000    10.38820
 22595.70000  1056.58000     0.00000     8.83650
 22671.50000  1056.58000     0.00000     9.24690
 22747.40000  1056.58000     0.00000     8.05700
 22823.20000  1056.58000     0.00000     6.74810
 22899.00000  1056.58000     0.00000     7.15410
 22974.80000  1056.58000     0.00000     7.11450
 23050.60000  1056.58000     0.00000     7.17390
 23126.40000  1056.58000     0.00000     9.62540
 23202.20000  1056.58000     0.00000     7.78960
 23278.00000  1056.58000     0.00000     7.56870
 23353.80000  1056.58000     0.00000     7.46470
 23429.60000  1056.58000     0.00000     6.75780
 23505.40000  1056.58000     0.00000     7.76460
 23581.20000  1056.58000     0.00000     7.90200
 23657.10000  1056.58000     0.00000     8.60060
 23732.90000  1056.58000     0.00000     6.74810
 23808.70000  1056.58000     0.00000     6.75450
 23884.50000  1056.58000     0.00000     7.44900
 23960.30000  1056.58000     0.00000     6.78270
 24036.10000  1056.58000     0.00000     6.76850
 24111.90000  1056.58000     0.00000     6.78010
 24187.70000  1056.58000     0.00000     6.85210
 24263.50000  1056.58000     0.00000     6.76490
 24339.30000  1056.58000     0.00000     6.75510
 24415.10000  1056.58000     0.00000     6.78630
 24491.00000  1056.58000     0.00000     6.77430
 24566.80000  1056.58000     0.00000     6.77190
 24642.60000  1056.58000     0.00000     6.78750
 24718.40000  1056.58000     0.00000     6.74350
 24794.20000  1056.58000     0.00000     6.73750
 24870.00000  1056.58000     0.00000     6.74280
 24945.80000  1056.58000     0.00000     6.78850
 25021.60000  1056.58000     0.00000     6.73470
 25097.40000  1056.58000     0.00000     6.76650
 25173.20000  1056.58000     0.00000     6.80290
 25249.00000  1056.58000     0.00000     6.76430
 25324.80000  1056.58000     0.00000     6.76320
 25400.70000  1056.58000     0.00000     6.74920
 25476.50000  1056.58000     0.00000     6.76480
 25552.30000  1056.58000     0.00000     6.87740
 25628.10000  1056.58000     0.00000     6.73910
 25703.90000  1056.58000     0.00000     7.04250
 25779.70000  1056.58000     0.00000     7.84230
 22534.10000  1056.58000     0.00000     9.24100
 22524.30000  1060.94000     0.00000     9.24100
 22519.90000  1062.88000     0.00000     9.24100
 22471.80000  1084.29000     0.00000     7.19670
 22444.10000  1096.63000     0.00000     7.02910
 22419.40000  1107.65000     0.00000     5.21880
 22368.30000  1130.38000     0.00000    10.19690
 22366.90000  1131.00000     0.00000    10.20170
 22368.30000  1132.39000     0.00000    10.22820
 22444.10000  1132.39000     0.00000     7.71260
 22519.90000  1132.39000     0.00000     8.21420
 22595.70000  1132.39000     0.00000     6.75660
 22671.50000  1132.39000     0.00000     7.23920
 22747.40000  1132.39000     0.00000     6.74440
 22823.20000  1132.39000     0.00000     6.75040
 22899.00000  1132.39000     0.00000     6.74010
 22974.80000  1132.39000     0.00000     7.38870
 23050.60000  1132.39000     0.00000     6.73740
 23126.40000  1132.39000     0.00000     7.89190
 23202.20000  1132.39000     0.00000     6.82050
 23278.00000  1132.39000     0.00000     6.81630
 23353.80000  1132.39000     0.00000     7.24100
 23429.60000  1132.39000     0.00000     7.27300
 23505.40000  1132.39000     0.00000     6.80810
 23581.20000  1132.39000     0.00000     6.74540
 23657.10000  1132.39000     0.00000     6.74530
 23732.90000  1132.39000     0.00000     7.95450
 23808.70000  1132.39000     0.00000     8.45380
 23884.50000  1132.39000     0.00000     6.98850
 23960.30000  1132.39000     0.00000     6.74180
 24036.10000  1132.39000     0.00000     6.73730
 24111.90000  1132.39000     0.00000     6.73820
 24187.70000  1132.39000     0.00000     6.74450
 24263.50000  1132.39000     0.00000     6.75460
 24339.30000  1132.39000     0.00000     6.75630
 24415.10000  1132.39000     0.00000     6.75620
 24491.00000  1132.39000     0.00000     6.75270
 24566.80000  1132.39000     0.00000     6.74930
 24642.60000  1132.39000     0.00000     6.78520
 24718.40000  1132.39000     0.00000     6.74390
 24794.20000  1132.39000     0.00000     6.77110
 24870.00000  1132.39000     0.00000     6.78720
 24945.80000  1132.39000     0.00000     6.73530
 25021.60000  1132.39000     0.00000     6.74140
 25097.40000  1132.39000     0.00000     6.73920
 25173.20000  1132.39000     0.00000     6.81610
 25249.00000  1132.39000     0.00000     6.73940
 25324.80000  1132.39000     0.00000     6.82340
 25400.70000  1132.39000     0.00000     6.74940
 25476.50000  1132.39000     0.00000     6.76370
 25552.30000  1132.39000     0.00000     7.06410
 25628.10000  1132.39000     0.00000     6.72790
 25703.90000  1132.39000     0.00000     0.00000
 25779.70000  1132.39000     0.00000     6.73720
 22363.80000  1132.39000     0.00000    10.68090
 22314.50000  1154.36000     0.00000     9.55090
 22292.50000  1164.13000     0.00000     6.87360
 22262.00000  1177.71000     0.00000     7.77710
 22216.70000  1197.89000     0.00000     8.92840
 22209.60000  1201.06000     0.00000    10.03800
 22216.70000  1208.20000     0.00000     8.95620
 22292.50000  1208.20000     0.00000     7.83680
 22368.30000  1208.20000     0.00000     7.02760
 22444.10000  1208.20000     0.00000     6.74260
 22519.90000  1208.20000     0.00000     9.04340
 22595.70000  1208.20000     0.00000     6.82680
 22671.50000  1208.20000     0.00000     6.74830
 22747.40000  1208.20000     0.00000     6.83180
 22823.20000  1208.20000     0.00000     7.06950
 22899.00000  1208.20000     0.00000     6.74860
 22974.80000  1208.20000     0.00000     9.24910
 23050.60000  1208.20000     0.00000     7.02660
 23126.40000  1208.20000     0.00000     7.55640
 23202.20000  1208.20000     0.00000     7.07780
 23278.00000  1208.20000     0.00000     6.73740
 23353.80000  1208.20000     0.00000     6.74070
 23429.60000  1208.20000     0.00000     6.74620
 23505.40000  1208.20000     0.00000     7.04420
 23581.20000  1208.20000     0.00000     7.19230
 23657.10000  1208.20000     0.00000     6.98050
 23732.90000  1208.20000     0.00000     6.90760
 23808.70000  1208.20000     0.00000     6.80810
 23884.50000  1208.20000     0.00000     6.74520
 23960.30000  1208.20000     0.00000     6.73800
 24036.10000  1208.20000     0.00000     6.74710
 24111.90000  1208.20000     0.00000     6.73970
 24187.70000  1208.20000     0.00000     6.73770
 24263.50000  1208.20000     0.00000     6.73790
 24339.30000  1208.20000     0.00000     6.73810
 24415.10000  1208.20000     0.00000     6.73720
 24491.00000  1208.20000     0.00000     6.73780
 24566.80000  1208.20000     0.00000     6.74180
 24642.60000  1208.20000     0.00000     6.76470
 24718.40000  1208.20000     0.00000     6.77720
 24794.20000  1208.20000     0.00000     6.77310
 24870.00000  1208.20000     0.00000     6.73680
 24945.80000  1208.20000     0.00000     6.75940
 25021.60000  1208.20000     0.00000     6.75700
 25097.40000  1208.20000     0.00000     6.75420
 25173.20000  1208.20000     0.00000     6.74690
 25249.00000  1208.20000     0.00000     6.76870
 25324.80000  1208.20000     0.00000     6.77570
 25400.70000  1208.20000     0.00000     6.76020
 25476.50000  1208.20000     0.00000     6.76360
 25552.30000  1208.20000     0.00000     6.72410
 25628.10000  1208.20000     0.00000     6.75380
 25703.90000  1208.20000     0.00000     7.04050
 25779.70000  1208.20000     0.00000     6.73890
 22193.50000  1208.20000     0.00000    10.04410
 22157.10000  1224.42000     0.00000    10.01130
 22140.90000  1231.64000     0.00000     8.37110
 22104.60000  1247.77000     0.00000     9.28630
 22065.10000  1265.39000     0.00000    10.24060
 22052.20000  1271.13000     0.00000    10.07450
 22065.10000  1284.01000     0.00000     9.49560
 22140.90000  1284.01000     0.00000     8.59960
 22216.70000  1284.01000     0.00000     7.57320
 22292.50000  1284.01000     0.00000     8.83810
 22368.30000  1284.01000     0.00000     7.82780
